id, num_locations, hull_area
144, 41, 12691125.9276
115, 2510, 5799548658.28
147, 39, 3620262.31729
153, 724, 37004138.1024
143, 252, 37906453.3048
138, 505, 143380414.415
164, 37, 6080526.79712
161, 535, 124586853.125
145, 188, 43899061.3401
146, 131, 16460707.2891
142, 1598, 182728758.741
173, 816, 137230879.21
172, 983, 165291807.907
171, 543, 45191681.0032
170, 1784, 360194903.374
176, 1659, 256784091.233
168, 1400, 167011362.467
165, 929, 269424071.925
166, 2176, 411038358.233
181, 731, 107439615.96
180, 1522, 261236815.246
177, 627, 96293894.5118
162, 710, 564695669.289
185, 1, 4450940.55089
187, 1, 833358.349554
174, 264, 86640179.0441
194, 1, 3012373.44805
178, 514, 243099864.826
183, 5, 15131273.9332
182, 53, 5943848.56683
175, 1064, 576747934.12
196, 1, 3294198.65581
197, 1, 852718.368222
201, 2, 7007173.62546
219, 57, 12605465.9115
199, 2, 10503467.0232
198, 9, 8500311.61227
221, 26, 5021391.3456
179, 3597, 2869879043.5
200, 1, 1120254.62515
186, 1, 6576002.35091
226, 40, 17569653.3733
193, 1, 3905146.08374
204, 64, 51568708.2532
189, 8, 11060876.5949
190, 26, 18028294.8283
211, 6, 14044809.6084
214, 9, 2083393.95453
207, 2, 5174743.06436
208, 45, 20347207.4846
218, 172, 38374349.6405
222, 265, 30673065.9563
229, 84, 36527910.1348
236, 73, 47302039.2273
216, 4, 991288.871175
215, 4, 1395049.94837
231, 36, 3867550.92442
243, 123, 55025754.3566
217, 2, 7517294.60157
225, 61, 10400859.5942
233, 42, 5328696.79331
230, 11, 1596096.95745
232, 61, 12106942.4904
247, 16, 4204851.42307
228, 60, 18651507.1233
249, 91, 79827088.2924
248, 16, 4272619.1841
191, 1, 1072468.34046
203, 64, 100081982.098
250, 97, 65631099.8593
253, 41, 18431178.842
210, 9, 19772400.6395
192, 1, 4777537.41996
239, 38, 4721184.21283
212, 6, 1261902.99327
240, 8, 3439592.17444
235, 47, 8958965.47446
205, 2, 3858553.32386
237, 49, 24196596.3999
206, 2, 4674280.77801
244, 65, 32222983.6418
223, 737, 203242423.912
246, 77, 55470392.4741
224, 60, 13980078.7198
241, 36, 6755637.93314
242, 91, 77221475.4007
184, 222, 1136103946.23
255, 34, 6270228.83956
257, 65, 17310922.1031
260, 98, 11971988.2082
265, 437, 85068305.9389
256, 116, 22075829.0581
262, 108, 61900937.0885
264, 226, 20252550.4512
259, 72, 42567302.686
254, 27, 4167025.03273
258, 66, 45002540.3975
261, 98, 55049857.0838
195, 1, 3294198.65581
273, 459, 37295112.9064
272, 99, 12904192.1344
266, 101, 45408364.4522
267, 53, 13463533.4308
268, 650, 106767364.097
269, 452, 102361435.259
271, 72, 39520187.1556
202, 59, 66013638.4637
274, 97, 297786906.443
285, 430, 48448792.0937
275, 82, 42834765.1676
281, 70, 16186377.2409
276, 764, 157993819.837
279, 59, 9920920.83261
280, 430, 65126782.2344
282, 167, 302600089.416
209, 2, 1043421.05542
286, 1294, 219647361.086
284, 1538, 664812515.377
283, 108, 14352858.0173
287, 29, 3119108.85536
289, 812, 892822980.773
278, 671, 161363034.98
291, 69, 43444996.1076
213, 17, 7919039.20763
293, 359, 45267493.0727
292, 48, 6786720.3075
294, 484, 42397489.9401
290, 27, 3001980.90302
297, 28, 5035825.35511
298, 680, 78436960.5576
220, 20, 1612966.60048
301, 29, 9149991.81695
299, 630, 95330504.7907
303, 7, 7492507.67379
304, 1833, 391899928.696
300, 49, 22514916.5784
307, 1216, 350487853.768
306, 16, 3294198.65581
305, 22, 8297861.31274
310, 419, 58470464.3582
227, 82, 9907083.17648
312, 58, 11021893.9905
309, 1171, 161848001.351
315, 64, 13065589.7952
314, 487, 152102339.668
311, 319, 82145724.7748
308, 2750, 3279802236.81
234, 144, 32437468.5282
316, 91, 19428542.4467
318, 885, 947124108.312
319, 5, 684427.811914
322, 92, 28282181.0852
321, 1123, 136750317.207
317, 5, 1236864.18455
323, 48, 4418991.18417
238, 102, 30376305.8137
331, 92, 37374317.1777
326, 86, 16135438.3699
325, 465, 129475594.939
324, 1810, 508744112.797
332, 1768, 340965956.132
328, 399, 68391538.5464
329, 94, 18691120.9684
335, 1081, 218171263.123
245, 59, 16174861.7219
333, 97, 36262181.4914
339, 59, 12961421.258
334, 457, 114035257.682
341, 934, 779226107.421
336, 72, 32591054.4251
330, 1426, 463168494.036
337, 38, 9834907.65847
252, 24, 8537989.989
340, 69, 14313473.0126
344, 963, 178076473.282
351, 94, 36517741.2701
343, 80, 9894945.4633
342, 346, 56218845.2114
354, 587, 150999650.72
348, 134, 70127859.4888
346, 192, 10156121.8685
347, 103, 43444737.4293
353, 622, 118201068.026
350, 413, 54455546.7496
356, 71, 9265439.79551
355, 38, 4708450.9499
357, 107, 20914391.4682
349, 254, 43848663.1597
360, 446, 63608382.551
263, 102, 26830200.5709
362, 99, 28253778.0593
361, 87, 32674202.5702
365, 320, 49409903.0511
358, 70, 12347758.1179
364, 1039, 202215804.668
359, 312, 27177360.8233
270, 64, 32830721.3644
373, 570, 149303649.278
368, 101, 12147025.453
366, 1308, 175246447.086
372, 1302, 163512696.765
367, 60, 26609496.1864
369, 390, 30548057.0105
375, 643, 534557436.317
277, 1237, 130370741.34
379, 39, 5814181.39529
382, 387, 156666773.372
385, 11, 1312457.89186
376, 180, 110166990.761
381, 51, 5986388.595
374, 31, 3833979.6406
371, 88, 15598382.5729
378, 74, 19135565.1866
288, 106, 20176906.25
389, 246, 193543874.528
387, 33, 16643505.1375
380, 448, 42739390.9874
386, 237, 141347448.97
383, 18, 1565132.42076
391, 947, 942498927.987
384, 75, 13065969.5639
295, 33, 2826335.99094
